ID,Category,Difficulty,Original_Question,Noisy_Question,Answer
1,Science,Easy,What is the chemical formula for water?,Wat is teh chemicla forumla for water?,H2O
2,Science,Easy,Who discovered penicillin?,Hwo discovred penciillin?,Alexander Fleming
3,Science,Easy,What is the chemical symbol for gold?,Waht is teh chemicla symol for goldd?,Au
4,Science,Easy,What planet is closest to the Sun?,Waht plannet is closset to teh Sun?,Mercury
5,Science,Easy,What is the powerhouse of the cell?,Waht is teh powerhuose of teh cell?,Mitochondria
6,Science,Easy,What gas do plants absorb during photosynthesis?,Waht gaz do plantes absrob druing photosynthesis?,Carbon dioxide (CO2)
7,Science,Easy,What is the atomic number of carbon?,Waht is teh atomci numbber of carbon?,6
8,Science,Easy,What is the approximate speed of light in a vacuum?,Waht is teh approxiamate spede of ligth in a vaccum?,"299,792 km/s"
9,Science,Easy,What is the hardest natural substance on Earth?,Waht is teh hardest naturel substanse on Erth?,Diamond
10,Science,Easy,What force keeps planets in orbit around the Sun?,Waht fource keeps plannets in orbitt around teh Sun?,Gravity
11,Science,Easy,What is the chemical symbol for iron?,Waht is teh chemicla symol for iorn?,Fe
12,Science,Easy,How many bones are in the adult human body?,How meny bonnes are in teh adlut humna body?,206
13,Science,Easy,What organ produces insulin in the human body?,Waht orgna producse insullin in teh humna body?,Pancreas
14,Science,Easy,What is the chemical formula for table salt?,Waht is teh chemicla forumla for tabel salt?,NaCl
15,Science,Easy,What is the chemical symbol for silver?,Waht is teh chemicla symol for sivler?,Ag
16,Science,Easy,What is the unit of electrical resistance?,Waht is teh unti of electircal resitance?,Ohm
17,Science,Easy,What is the most abundant gas in Earth's atmosphere?,Waht is teh moost abondant gaz in Eath's atmopshere?,Nitrogen
18,Science,Easy,Who proposed the theory of general relativity?,Hwo porposed teh thoery of generel relativity?,Albert Einstein
19,Science,Easy,What is the chemical symbol for potassium?,Waht is teh chemicla symol for potasium?,K
20,Science,Easy,What is the boiling point of water at sea level in Celsius?,Waht is teh boilng poing of watre at sea levle in Celsius?,100 degrees C
21,Science,Medium,Which organ in the human body is responsible for filtering blood and producing urine?,Whcih orgna in teh humna body is reponsible for filteirng bllod and producng urine?,Kidney
22,Science,Medium,Which subatomic particle carries a negative electric charge?,Whcih subatomci particel carreis a negtive electirc charge?,Electron
23,Science,Medium,What process do cells use to produce energy from glucose without oxygen?,Waht proccess do cells us to prodcue enregy form glucsoe withuot oxygne?,Anaerobic respiration
24,Science,Medium,Which layer of Earth's atmosphere contains the ozone layer?,Whcih layre of Eath's atmosphree contians teh ozone layar?,Stratosphere
25,Science,Medium,What type of bond holds the two strands of a DNA double helix together?,Waht typ of bند holsd teh two strands of a DNA dubble helxi togther?,Hydrogen bonds
26,Science,Medium,Which element has the highest electronegativity on the periodic table?,Whcih elemnt has teh highets electronegatvity on teh periodci tabel?,Fluorine
27,Science,Medium,What scientific law states that energy cannot be created or destroyed?,Waht scientifc law statse that enregy canot be creatd or destoryed?,Law of Conservation of Energy
28,Science,Medium,Which blood type is known as the universal donor?,Whcih bllod typ is knwon as teh univresal donur?,O negative (O-)
29,Science,Medium,What is the term for the minimum energy required to start a chemical reaction?,Waht is teh trm for teh minimun enregy reqiured to strat a chemicla reactoin?,Activation energy
30,Science,Medium,Which planet has the greatest number of moons in the solar system?,Whcih plannet has teh greatst numbber of mooons in teh solar sytsem?,Saturn
31,Science,Hard,Which Indian scientist won the Nobel Prize in Physics in 1930?,Whcih Indain scientsit won teh Nobeel Przie in Phyics in 1930?,C. V. Raman
32,Science,Hard,What is the half-life of Carbon-14 used in radiocarbon dating?,Waht is teh half-lief of Carbon-14 usde in radiocarbn datng?,"Approximately 5,730 years"
33,Science,Hard,What is the name of the enzyme that unwinds the DNA double helix during replication?,Waht is teh naem of teh enzime taht unwinds teh DNA dubble helxi durng replicaton?,Helicase
34,Science,Hard,What quantum mechanical principle states that two fermions cannot occupy the same quantum state?,Waht quantm mechnaical princpile statse taht two ferminos canot ocupy teh saem quantm satte?,Pauli Exclusion Principle
35,Science,Hard,Which element was discovered by the Curies in 1898 and named after Marie Curie's home country?,Whcih elemnt was discovred by teh Cuires in 1898 and namd aftar Marie Curie's hoem cuntry?,Polonium
36,Science,Hard,In which year did Ernest Rutherford publish the nuclear model of the atom?,In whcih yer did Ernset Ruthreford pubilsh teh nuclera modl of teh atmo?,1911
37,Science,Hard,What is the SI unit of luminous intensity?,Waht is teh SI unti of luminuos intensty?,Candela
38,Science,Hard,Which law of thermodynamics states that the entropy of a perfect crystal at absolute zero is zero?,Whcih law of thermdynamics statse taht teh entorpy of a prefect crystl at absolte zero is zero?,Third Law of Thermodynamics
39,Science,Hard,What is the chemical name of H2SO4?,Waht is teh chemicla naem of H2SO4?,Sulfuric acid
40,Science,Hard,Which protein complex carries out the light-dependent reactions in plant photosynthesis?,Whcih proteien compelx carreis out teh light-dependnt reactoins in plnat photosyntehsis?,Photosystem II
41,Geography,Easy,What is the capital of France?,Waht is teh captial of Farnce?,Paris
42,Geography,Easy,What is the largest continent by area?,Waht is teh largets continnet by arae?,Asia
43,Geography,Easy,What is the longest river in the world?,Waht is teh longset rivr in teh wrold?,Nile
44,Geography,Easy,What is the capital of Australia?,Waht is teh captial of Australai?,Canberra
45,Geography,Easy,What is the smallest country in the world?,Waht is teh smallset cuntry in teh wrold?,Vatican City
46,Geography,Easy,What is the highest mountain in the world?,Waht is teh highset montain in teh wrold?,Mount Everest
47,Geography,Easy,What is the largest ocean?,Waht is teh largets oceean?,Pacific Ocean
48,Geography,Easy,What is the capital of Japan?,Waht is teh captial of Japna?,Tokyo
49,Geography,Easy,What is the longest mountain range in the world?,Waht is teh longset mountian ragne in teh wrold?,Andes
50,Geography,Easy,What is the capital of Brazil?,Waht is teh captial of Brzail?,Brasilia
51,Geography,Easy,Which country has the most natural lakes?,Whcih cuntry has teh moost naturel laeks?,Canada
52,Geography,Easy,What is the driest desert in the world?,Waht is teh driest desret in teh wrold?,Atacama Desert
53,Geography,Easy,What is the capital of Germany?,Waht is teh captial of Germny?,Berlin
54,Geography,Easy,What river flows through Egypt?,Waht rivr flowes thrugh Egytp?,Nile
55,Geography,Easy,What is the largest country by area?,Waht is teh largets cuntry by arae?,Russia
56,Geography,Easy,What is the capital of Canada?,Waht is teh captial of Canadda?,Ottawa
57,Geography,Easy,What is the saltiest body of water on Earth?,Waht is teh saltiest bodi of watre on Erth?,Dead Sea
58,Geography,Easy,On which continent is the Sahara Desert located?,On whcih contiennt is teh Sahara Desret locatd?,Africa
59,Geography,Easy,What is the capital of Argentina?,Waht is teh captial of Argentnia?,Buenos Aires
60,Geography,Easy,What is the capital of China?,Waht is teh captial of Chnia?,Beijing
61,Geography,Medium,Which city serves as the political and administrative capital of India?,Whcih citi servse as teh politcal and adminstrative captial of Indai?,New Delhi
62,Geography,Medium,Which African country has the largest land area?,Whcih Africna cuntry has teh largets land arae?,Algeria
63,Geography,Medium,Which strait separates the continents of Europe and Africa?,Whcih strat seprrates teh continents of Eruope and Africna?,Strait of Gibraltar
64,Geography,Medium,Which country is entirely surrounded by South Africa?,Whcih cuntry is entirly surrounedd by Suth Africa?,Lesotho
65,Geography,Medium,Which river forms the border between the United States and Mexico?,Whcih rivr froms teh bordr betwen teh Unitd Staets and Mexcio?,Rio Grande
