ID,Category,Difficulty,Original_Question,Paraphrased_Question,Answer
1,Science,Easy,What is the chemical formula for water?,Which formula represents the chemical composition of water?,H2O
2,Science,Easy,Who discovered penicillin?,Which scientist is credited with discovering penicillin?,Alexander Fleming
3,Science,Easy,What is the chemical symbol for gold?,Which chemical symbol is used for the element gold?,Au
4,Science,Easy,What planet is closest to the Sun?,Which planet in our solar system lies nearest to the Sun?,Mercury
5,Science,Easy,What is the powerhouse of the cell?,Which organelle is referred to as the powerhouse of the cell?,Mitochondria
6,Science,Easy,What gas do plants absorb during photosynthesis?,Which gas is absorbed by plants during photosynthesis?,Carbon dioxide (CO2)
7,Science,Easy,What is the atomic number of carbon?,What atomic number does the element carbon have?,6
8,Science,Easy,What is the approximate speed of light in a vacuum?,"How fast does light travel through a vacuum, approximately?","299,792 km/s"
9,Science,Easy,What is the hardest natural substance on Earth?,Which naturally occurring substance is the hardest found on Earth?,Diamond
10,Science,Easy,What force keeps planets in orbit around the Sun?,Which force holds planets in their orbits around the Sun?,Gravity
11,Science,Easy,What is the chemical symbol for iron?,Which chemical symbol represents the element iron?,Fe
12,Science,Easy,How many bones are in the adult human body?,What is the total bone count in an adult human body?,206
13,Science,Easy,What organ produces insulin in the human body?,Which organ is responsible for producing insulin in the human body?,Pancreas
14,Science,Easy,What is the chemical formula for table salt?,Which chemical formula corresponds to table salt?,NaCl
15,Science,Easy,What is the chemical symbol for silver?,Which chemical symbol is used to denote silver?,Ag
16,Science,Easy,What is the unit of electrical resistance?,What is the standard unit for measuring electrical resistance?,Ohm
17,Science,Easy,What is the most abundant gas in Earth's atmosphere?,Which gas is most abundant in Earth's atmosphere?,Nitrogen
18,Science,Easy,Who proposed the theory of general relativity?,Which scientist introduced the theory of general relativity?,Albert Einstein
19,Science,Easy,What is the chemical symbol for potassium?,Which chemical symbol represents potassium on the periodic table?,K
20,Science,Easy,What is the boiling point of water at sea level in Celsius?,At what Celsius temperature does water boil at sea level?,100 degrees C
21,Science,Medium,Which organ in the human body is responsible for filtering blood and producing urine?,Which organ filters blood and produces urine in the human body?,Kidney
22,Science,Medium,Which subatomic particle carries a negative electric charge?,Which subatomic particle has a negative electric charge?,Electron
23,Science,Medium,What process do cells use to produce energy from glucose without oxygen?,What process allows cells to produce energy from glucose in the absence of oxygen?,Anaerobic respiration
